,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,query,rank,date,local_image
10,완조립루게 ST30 고정 서울대 학생 회의 회의용 사무용 허리 바퀴없는 사무책상 공부의자,https://search.shopping.naver.com/gate.nhn?id=83820124835,https://shopping-phinf.pstatic.net/main_8382012/83820124835.6.jpg,73800,,루게,83820124835,2,루게,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,11,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8382012|83820124835.6.jpg
11,EX퍼니처 카본체어 TYPE-2 게이밍 컴퓨터 사무용 중역 의자,https://search.shopping.naver.com/gate.nhn?id=35409605921,https://shopping-phinf.pstatic.net/main_3540960/35409605921.20230211205513.jpg,297000,,네이버,35409605921,1,EX퍼니처,이엑스퍼니처,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,12,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3540960|35409605921.20230211205513.jpg
12,제닉스 카카오프렌즈 프리미엄 컴퓨터의자 어피치,https://search.shopping.naver.com/gate.nhn?id=19737493122,https://shopping-phinf.pstatic.net/main_1973749/19737493122.20190802163056.jpg,169000,,네이버,19737493122,1,제닉스,제닉스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,13,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1973749|19737493122.20190802163056.jpg
13,패러데이 허리편한 메쉬 컴퓨터의자 사무용 사무실의자 학생 공부 책상의자,https://search.shopping.naver.com/gate.nhn?id=84060855969,https://shopping-phinf.pstatic.net/main_8406085/84060855969.21.jpg,89800,,FARADAY,84060855969,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,14,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8406085|84060855969.21.jpg
14,체어렉스 중역 리클라이너 침대형 컴퓨터 책상 사무용 사무실 의자 C50 PPPNB,https://search.shopping.naver.com/gate.nhn?id=31250605893,https://shopping-phinf.pstatic.net/main_3125060/31250605893.20220312051309.jpg,229000,,네이버,31250605893,1,체어렉스,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,15,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3125060|31250605893.20220312051309.jpg
15,EX퍼니처 3D 메쉬체어 UPM 게이밍의자 컴퓨터의자 중역의자 TYPE-2,https://search.shopping.naver.com/gate.nhn?id=33885292881,https://shopping-phinf.pstatic.net/main_3388529/33885292881.20230108060653.jpg,319000,,네이버,33885292881,1,,이엑스퍼니처,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,16,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3388529|33885292881.20230108060653.jpg
16,핀란디아 데이브 책상의자,https://search.shopping.naver.com/gate.nhn?id=24648191526,https://shopping-phinf.pstatic.net/main_2464819/24648191526.20201030123815.jpg,65800,,네이버,24648191526,1,핀란디아,올펀,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,17,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2464819|24648191526.20201030123815.jpg
17,아우디 침대형의자 게이밍 개인방송 사무실 컴퓨터 책상 무중력의자,https://search.shopping.naver.com/gate.nhn?id=81988344055,https://shopping-phinf.pstatic.net/main_8198834/81988344055.6.jpg,116000,,파파가구,81988344055,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,18,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8198834|81988344055.6.jpg
18,공부 학생 사무용 서울대 바퀴없는 편한 책상 의자 몰입체어 사이즈오브,https://search.shopping.naver.com/gate.nhn?id=82216298028,https://shopping-phinf.pstatic.net/main_8221629/82216298028.6.jpg,175120,,사이즈오브,82216298028,2,사이즈오브,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,19,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8221629|82216298028.6.jpg
19,MONO 컴퓨터 사무용 사무실 책상 학생 의자,https://search.shopping.naver.com/gate.nhn?id=82497093851,https://shopping-phinf.pstatic.net/main_8249709/82497093851.7.jpg,32900,,BC체어,82497093851,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,20,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8249709|82497093851.7.jpg
20,리드퍼 DP50 팔걸이없는 사무실 컴퓨터 공부 책상 회의용 학생 의자,https://search.shopping.naver.com/gate.nhn?id=84175220072,https://shopping-phinf.pstatic.net/main_8417522/84175220072.jpg,92000,,리드퍼,84175220072,2,리드퍼,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,21,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8417522|84175220072.jpg
21,린백 LB31HB 학생 사무용 메쉬의자,https://search.shopping.naver.com/gate.nhn?id=14483676957,https://shopping-phinf.pstatic.net/main_1448367/14483676957.20230105115523.jpg,89900,,네이버,14483676957,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,22,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1448367|14483676957.20230105115523.jpg
22,린백 사무용 학생용 컴퓨터 의자 LB11HW,https://search.shopping.naver.com/gate.nhn?id=24803296321,https://shopping-phinf.pstatic.net/main_2480329/24803296321.20220111101151.jpg,47900,,네이버,24803296321,1,린백,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,23,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2480329|24803296321.20220111101151.jpg
23,퍼시스 CH6200CH 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=11515738337,https://shopping-phinf.pstatic.net/main_1151573/11515738337.20201030104108.jpg,188630,,네이버,11515738337,1,퍼시스,퍼시스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,24,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1151573|11515738337.20201030104108.jpg
24,EX퍼니처 EX체어 게이밍 컴퓨터 사무용 의자 EX200,https://search.shopping.naver.com/gate.nhn?id=34832855635,https://shopping-phinf.pstatic.net/main_3483285/34832855635.20220922133707.jpg,220000,,네이버,34832855635,1,EX퍼니처,이엑스퍼니처,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,25,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3483285|34832855635.20220922133707.jpg
25,동서가구 아레스 1인 리클라이너 사무용 침대의자 DF908118,https://search.shopping.naver.com/gate.nhn?id=19647442739,https://shopping-phinf.pstatic.net/main_1964744/19647442739.20190606110829.jpg,105470,,네이버,19647442739,1,동서가구,동서가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,26,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1964744|19647442739.20190606110829.jpg
26,모드니 사무용 사무실 의자 책상 메쉬 학생 컴퓨터의자,https://search.shopping.naver.com/gate.nhn?id=83882698810,https://shopping-phinf.pstatic.net/main_8388269/83882698810.2.jpg,69800,,모드니 컴퍼니,83882698810,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,27,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8388269|83882698810.2.jpg
27,패트라 바른자세 컴퓨터 사무실 사무용 책상 학생 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=85132960403,https://shopping-phinf.pstatic.net/main_8513296/85132960403.3.jpg,39900,,패트라,85132960403,2,페트라,페트라,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,28,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8513296|85132960403.3.jpg
28,아우스 사무용 컴퓨터 의자 사무실 책상 학생 공부 중역 피씨 PC방 편한 대학생 의자추천,https://search.shopping.naver.com/gate.nhn?id=83582774342,https://shopping-phinf.pstatic.net/main_8358277/83582774342.9.jpg,119800,,AUS KOREA,83582774342,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,29,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8358277|83582774342.9.jpg
